index	x	y	is_active	cluster_index
0	3.99456	8.20645	0	-1
1	4.29974	8.19986	0	-1
2	9.40700	8.35920	1	1
3	9.94124	3.08319	1	2
4	6.60417	4.43900	1	3
5	2.76417	8.83769	1	4
6	2.88884	0.93223	0	-1
7	6.87489	1.98903	0	-1
8	0.51449	4.44033	0	-1
9	4.14529	0.48287	0	-1
10	1.05894	2.80172	1	5
11	6.62882	4.65701	0	-1
12	2.66868	2.33263	0	-1
13	4.79329	8.62113	1	6
14	5.96160	3.24877	1	3
15	9.00898	7.92902	1	1
16	7.35573	4.10318	0	-1
17	4.84545	2.79070	1	3
18	1.21873	3.30787	1	5
19	1.95062	1.30718	1	7
20	0.30856	7.37007	1	8
21	5.48840	6.35337	0	-1
22	0.18939	7.29285	1	8
23	6.84350	7.06461	1	9
24	9.47261	4.72320	0	-1
