index	x	y	is_active	cluster_index
00	4.12952	4.65993	01	-1
01	0.25395	3.67658	01	-1
02	3.05668	5.71144	00	-1
03	4.59151	1.80286	01	-1
04	9.57416	7.18664	00	-1
05	8.57220	2.73500	01	-1
06	4.50261	9.53715	01	-1
07	5.44982	5.55669	01	-1
08	3.99907	3.24898	01	-1
09	5.80258	4.78714	01	-1
10	5.00992	6.61666	01	-1
11	2.44504	0.72881	01	-1
12	4.24938	0.01692	01	-1
13	7.97855	8.48229	00	-1
14	2.17488	9.82113	01	-1
15	4.18286	8.91572	00	-1
16	2.33379	4.51727	00	-1
17	7.32632	4.58132	01	-1
18	8.52206	1.66572	00	-1
19	2.61705	8.77351	01	-1
20	3.62488	2.68781	00	-1
21	4.44636	4.82538	01	-1
22	4.33859	7.89390	00	-1
23	8.52260	2.11843	01	-1
24	1.78230	1.06900	00	-1
