index	x	y	z	is_active	cluster_index
00	7.01802	0.52851	4.44358	00	-1
01	9.79742	0.78300	7.28660	01	01
02	6.40272	1.49425	6.91770	01	02
03	4.31604	0.22383	7.98393	01	02
04	6.82162	0.16642	5.31318	01	02
05	5.85316	9.98762	6.01842	01	03
06	2.81105	2.10292	4.74100	01	02
07	3.93491	2.98370	5.33229	01	02
08	2.70201	6.69428	0.64907	01	05
09	5.83168	0.99441	5.93862	01	02
10	2.81350	6.42378	1.92221	01	05
11	5.36045	8.59179	8.28819	00	-1
12	6.75893	3.66648	3.36310	01	06
13	2.87311	3.14162	7.25650	01	02
14	8.77900	2.71337	2.47960	00	-1
15	0.31277	3.33604	1.55940	01	07
16	0.77058	3.84561	5.75227	00	-1
17	0.04555	4.79503	0.16936	01	07
18	3.71689	5.47831	1.85476	00	-1
19	0.10512	7.40332	7.38512	01	08
20	1.42013	8.36589	2.78019	01	05
21	3.31636	5.64666	7.34879	01	02
22	7.93425	5.18907	8.50035	01	06
23	3.58501	8.55589	2.82143	00	-1
24	0.31419	6.55963	5.69082	01	08
25	3.15414	2.02591	2.71491	00	-1
26	9.55370	8.68238	3.98742	01	10
27	6.62314	3.10055	0.90936	01	06
28	0.69470	0.84763	3.02087	01	07
29	4.08991	3.79767	9.74722	01	02
30	4.96672	8.40709	9.10601	01	11
31	3.49870	4.24140	8.82852	01	02
32	8.06540	4.85725	9.51095	01	06
33	3.78408	6.53167	0.78012	01	05
34	7.43027	4.55607	5.72529	01	06
