index	x	y	is_active	cluster_index
00	8.92844	8.85099	01	01
01	5.69613	8.78523	01	01
02	6.48732	5.46854	00	-1
03	9.59020	4.84926	01	03
04	0.45066	5.36227	01	01
05	5.66488	2.53916	00	-1
06	5.72910	0.92570	01	03
07	7.07481	8.23620	01	01
08	2.11632	4.44387	01	01
09	3.70551	9.79816	01	01
10	5.00079	9.99872	00	-1
11	4.55586	3.02209	01	01
12	0.56410	2.46103	01	04
13	6.09718	9.90140	01	01
14	5.81016	2.79082	01	01
15	9.97743	9.10998	01	01
16	2.09016	5.45623	01	01
17	9.59683	3.20726	00	-1
18	5.83082	2.78044	01	01
19	0.68781	9.81997	00	-1
20	9.50856	7.37429	00	-1
21	0.25255	1.92185	01	04
22	1.80555	4.17516	01	01
23	3.81599	5.66322	01	01
24	4.64570	4.74817	01	01
25	0.61934	0.92132	01	04
26	8.16781	4.91866	01	01
27	3.02165	5.87474	01	01
28	0.57540	4.86080	01	01
29	9.73295	5.94696	01	01
30	5.16566	8.72800	00	-1
31	4.65466	7.96496	01	01
32	2.18675	5.29055	01	01
33	1.27332	6.64544	01	01
34	1.67759	8.52297	01	01
35	9.86607	4.38719	01	03
36	0.82259	6.94733	01	01
37	8.15804	8.72363	01	01
38	7.72061	3.12934	00	-1
39	2.99159	7.52557	01	01
40	4.68864	5.02273	01	01
41	5.65660	2.50256	00	-1
42	2.36542	6.10871	00	-1
43	8.93295	6.83519	01	01
44	6.38821	3.72846	01	01
45	2.93152	3.40262	01	01
46	5.00612	9.68081	00	-1
47	7.79092	1.59953	01	03
48	6.99186	4.39242	01	01
49	0.13353	5.71643	00	-1
50	7.95081	3.54943	01	01
51	4.91347	8.27361	01	01
52	7.92154	2.31154	01	03
53	1.97560	3.05284	01	01
54	1.18616	0.14077	01	09
55	5.70317	0.98783	01	03
56	3.64492	7.28879	01	01
57	6.14451	2.14096	01	01
58	8.86731	6.65022	01	01
59	1.80717	7.57406	00	-1
60	3.19937	1.38839	01	03
61	1.61522	4.05319	00	-1
62	4.86047	9.50504	00	-1
63	4.73514	3.09581	00	-1
64	9.05535	3.67998	01	01
65	3.10229	3.55964	00	-1
66	6.53926	0.66019	01	03
67	6.20368	1.01632	01	03
68	6.76882	0.53644	01	03
69	9.13021	9.66465	01	01
70	6.59525	0.94426	01	03
71	6.43048	1.97951	01	03
72	5.31824	8.58442	01	01
73	3.33122	8.45715	01	01
74	9.12501	1.69872	01	03
75	7.85221	6.13889	00	-1
76	4.27655	6.52475	01	01
77	0.78719	6.77434	01	01
78	7.88719	8.39388	01	01
79	2.93885	1.26838	01	03
80	6.56377	2.25724	00	-1
81	0.39012	0.76820	00	-1
82	8.57315	6.00192	01	01
83	9.70231	7.28745	01	01
84	0.83448	6.07256	00	-1
85	6.61709	8.70635	01	01
86	5.88940	3.31734	01	01
87	1.23556	5.98014	01	01
88	0.37266	5.96955	01	01
89	1.42543	1.17013	01	09
90	5.73999	9.46086	01	01
91	5.95292	5.91486	00	-1
92	5.91698	9.84012	00	-1
93	3.44678	2.36648	00	-1
94	7.50636	8.52205	01	01
95	4.36285	0.62053	00	-1
96	8.14242	9.52630	00	-1
97	8.00433	5.05743	00	-1
98	0.87854	3.19781	01	04
99	3.71045	2.26404	01	01
100	3.14375	1.02953	01	03
101	2.45344	2.57210	01	03
102	5.00695	2.28442	00	-1
103	2.25639	9.62852	01	01
104	2.31378	7.50629	01	01
105	3.45339	0.89315	00	-1
106	2.65596	3.30068	01	01
107	1.09165	0.11395	00	-1
108	7.09711	5.14812	00	-1
109	9.88014	7.05915	01	01
110	6.43679	1.59510	01	03
111	2.36990	4.29618	00	-1
112	8.32261	3.83491	01	01
113	9.50471	2.72163	00	-1
114	2.95509	7.23518	00	-1
115	2.42114	3.19862	01	01
116	7.65697	8.06590	01	01
117	5.09973	8.36241	01	01
118	4.58465	7.90193	01	01
119	0.75583	0.66418	00	-1
120	4.98681	7.12177	01	01
121	7.55374	8.71967	00	-1
122	1.29932	4.79385	01	01
123	7.63862	7.79932	00	-1
124	5.17058	7.40031	01	01
125	1.47758	5.86083	01	01
126	6.62614	4.24231	00	-1
127	9.94859	9.58466	01	01
128	0.13712	2.29719	01	04
129	4.44402	4.97471	00	-1
130	7.75290	4.87507	00	-1
131	5.27068	9.26075	01	01
132	4.71200	8.39424	01	01
133	0.38660	6.61216	01	01
134	4.64955	0.04925	01	03
135	3.58800	4.28255	01	01
136	3.87440	6.21572	01	01
137	4.79592	9.41829	01	01
138	2.43571	4.10570	01	01
139	6.38928	3.56475	01	01
140	1.17563	7.47929	00	-1
141	4.30154	4.30616	01	01
142	8.85489	7.33349	01	01
143	8.22417	0.29616	01	03
144	8.77104	4.14625	00	-1
145	8.27318	7.88219	00	-1
146	5.89900	3.88594	01	01
147	4.67768	0.44874	01	03
148	9.78952	8.85161	01	01
149	3.86068	3.25267	01	01
